,bank_no,rack_no,serial_dt,current,voltage,avg_temp,dtime
94,1,1,1639178100,18.4,945,94,2021-12-10 23:15
95,1,2,1639178100,18.9,946,95,2021-12-10 23:15
96,1,3,1639178100,18.3,945,96,2021-12-10 23:15
97,1,4,1639178100,17.4,947,97,2021-12-10 23:15
98,1,5,1639178100,18.5,946,98,2021-12-10 23:15
99,1,6,1639178100,18.4,946,99,2021-12-10 23:15
100,1,7,1639178100,18.2,945,100,2021-12-10 23:15
101,1,8,1639178100,18.6,946,101,2021-12-10 23:15
102,1,9,1639178100,18.5,945,102,2021-12-10 23:15
103,1,10,1639178100,18.4,946,103,2021-12-10 23:15
104,1,11,1639178100,18.6,945,104,2021-12-10 23:15
105,1,12,1639178100,18.7,946,1,2021-12-10 23:15
106,1,13,1639178100,17.8,945,2,2021-12-10 23:15
107,1,14,1639178100,18.2,945,3,2021-12-10 23:15
108,1,15,1639178100,17.7,946,4,2021-12-10 23:15
109,1,16,1639178100,18.4,946,5,2021-12-10 23:15
110,1,17,1639178100,18.5,946,6,2021-12-10 23:15
111,1,18,1639178100,17.6,945,7,2021-12-10 23:15
112,1,19,1639178100,17.8,945,8,2021-12-10 23:15
113,1,20,1639178100,18.6,946,9,2021-12-10 23:15
114,1,21,1639178100,18.7,946,10,2021-12-10 23:15
115,1,22,1639178100,18.1,946,11,2021-12-10 23:15
116,1,23,1639178100,19.3,945,12,2021-12-10 23:15
117,1,24,1639178100,17.9,945,13,2021-12-10 23:15
118,1,25,1639178100,18,946,14,2021-12-10 23:15
119,1,26,1639178100,17.8,945,15,2021-12-10 23:15
120,1,27,1639178100,18.6,946,16,2021-12-10 23:15
121,1,28,1639178100,18.4,945,17,2021-12-10 23:15
122,1,1,1639178400,18.3,948,18,2021-12-10 23:20
123,1,2,1639178400,18.8,949,19,2021-12-10 23:20
124,1,3,1639178400,18.2,948,20,2021-12-10 23:20
125,1,4,1639178400,17.2,949,21,2021-12-10 23:20
126,1,5,1639178400,18.4,949,22,2021-12-10 23:20
127,1,6,1639178400,18.4,949,23,2021-12-10 23:20
128,1,7,1639178400,18.2,948,24,2021-12-10 23:20
129,1,8,1639178400,18.5,948,25,2021-12-10 23:20
130,1,9,1639178400,18.5,948,26,2021-12-10 23:20
131,1,10,1639178400,18.3,948,27,2021-12-10 23:20
132,1,11,1639178400,18.3,948,28,2021-12-10 23:20
133,1,12,1639178400,18.7,949,29,2021-12-10 23:20
134,1,13,1639178400,17.8,948,30,2021-12-10 23:20
135,1,14,1639178400,18.2,948,31,2021-12-10 23:20
136,1,15,1639178400,17.8,948,32,2021-12-10 23:20
137,1,16,1639178400,18.4,949,33,2021-12-10 23:20
138,1,17,1639178400,18.5,949,34,2021-12-10 23:20
139,1,18,1639178400,17.5,948,35,2021-12-10 23:20
140,1,19,1639178400,17.8,948,36,2021-12-10 23:20
141,1,20,1639178400,18.5,949,37,2021-12-10 23:20
142,1,21,1639178400,18.6,949,38,2021-12-10 23:20
143,1,22,1639178400,18,949,39,2021-12-10 23:20
144,1,23,1639178400,19,949,40,2021-12-10 23:20
145,1,24,1639178400,17.9,948,41,2021-12-10 23:20
146,1,25,1639178400,18,949,42,2021-12-10 23:20
147,1,26,1639178400,17.8,948,43,2021-12-10 23:20
148,1,27,1639178400,18.7,948,44,2021-12-10 23:20
149,1,28,1639178400,18.3,948,45,2021-12-10 23:20
150,1,1,1639178700,18.2,951,46,2021-12-10 23:25
151,1,2,1639178700,18.6,951,47,2021-12-10 23:25
152,1,3,1639178700,18.1,951,48,2021-12-10 23:25
153,1,4,1639178700,17.2,952,49,2021-12-10 23:25
154,1,5,1639178700,18.4,952,50,2021-12-10 23:25
155,1,6,1639178700,18.3,952,51,2021-12-10 23:25
156,1,7,1639178700,18.1,951,52,2021-12-10 23:25
157,1,8,1639178700,18.4,951,53,2021-12-10 23:25
158,1,9,1639178700,18.4,951,54,2021-12-10 23:25
159,1,10,1639178700,18.3,952,55,2021-12-10 23:25
160,1,11,1639178700,18.1,951,56,2021-12-10 23:25
